Ime,Prikazano ime,Glavna e-pošta:,Naslov v službi,Organizacija
LOVSKA DRUŽINA MISLINJA,LOVSKA DRUŽINA MISLINJA,,"Završe 49, 2382 Mislinja",", LOVSKA DRUŽINA MISLINJA"
LOVSKA DRUŽINA PŠATA,LOVSKA DRUŽINA PŠATA,,"Dragomelj 20, 1230 Domžale",", LOVSKA DRUŽINA PŠATA"
LOVSKA DRUŽINA JEZERSKO,LOVSKA DRUŽINA JEZERSKO,,"Zgornje Jezersko 150 A, 4206 Zgornje Jezersko",", LOVSKA DRUŽINA JEZERSKO"
GOSPODARSKA ZBORNICA SLOVENIJE CENTER ZA POSLOVNO USPOSABLJANJE,GOSPODARSKA ZBORNICA SLOVENIJE CENTER ZA POSLOVNO USPOSABLJANJE,,"Kardeljeva ploščad 27 A, 1000 Ljubljana",", GOSPODARSKA ZBORNICA SLOVENIJE CENTER ZA POSLOVNO USPOSABLJANJE"
LOVSKA DRUŽINA BUČKA,LOVSKA DRUŽINA BUČKA,,"Bučka 2, 8276 Bučka",", LOVSKA DRUŽINA BUČKA"
JAMARSKO DRUŠTVO GREGOR ŽIBERNA DIVAČA,JAMARSKO DRUŠTVO GREGOR ŽIBERNA DIVAČA,,"Kraška cesta 67, 6215 Divača",", JAMARSKO DRUŠTVO GREGOR ŽIBERNA DIVAČA"
RIBIŠKA DRUŽINA TRŽIČ,RIBIŠKA DRUŽINA TRŽIČ,,"Ročevnica 61, 4290 Tržič",", RIBIŠKA DRUŽINA TRŽIČ"
LOVSKA DRUŽINA VELIKA NEDELJA,LOVSKA DRUŽINA VELIKA NEDELJA,,"Trgovišče 58, 2274 Velika Nedelja",", LOVSKA DRUŽINA VELIKA NEDELJA"
LOVSKA DRUŽINA VRHE,LOVSKA DRUŽINA VRHE,,"Poljane pri Štjaku 6, 6222 Štanjel",", LOVSKA DRUŽINA VRHE"
LOVSKA DRUŽINA LIJAK,LOVSKA DRUŽINA LIJAK,,"Šempas 136, 5261 Šempas",", LOVSKA DRUŽINA LIJAK"
LOVSKA DRUŽINA GORNJE JEZERO,LOVSKA DRUŽINA GORNJE JEZERO,,"Gorenje Jezero 40, 1384 Grahovo",", LOVSKA DRUŽINA GORNJE JEZERO"
LOVSKA DRUŽINA TIMAV VREME,LOVSKA DRUŽINA TIMAV VREME,,"Goriče pri Famljah 19, 6217 Vremski Britof",", LOVSKA DRUŽINA TIMAV VREME"
Lovska družina Podlehnik,Lovska družina Podlehnik,,"Zakl 40, 2286 Podlehnik",", Lovska družina Podlehnik"
LOVSKA DRUŽINA IVANJKOVCI,LOVSKA DRUŽINA IVANJKOVCI,,"Veličane 4, 2259 Ivanjkovci",", LOVSKA DRUŽINA IVANJKOVCI"
LOVSKA DRUŽINA LOŠKI POTOK,LOVSKA DRUŽINA LOŠKI POTOK,,"Hrib-Loški Potok 999, 1318 Loški Potok",", LOVSKA DRUŽINA LOŠKI POTOK"
LOVSKA DRUŽINA PROSENJAKOVCI,LOVSKA DRUŽINA PROSENJAKOVCI,,"Prosenjakovci 67 A, 9207 Prosenjakovci - Pártosfalva",", LOVSKA DRUŽINA PROSENJAKOVCI"
RIBIŠKA DRUŽINA SORA ŠKOFJA LOKA,RIBIŠKA DRUŽINA SORA ŠKOFJA LOKA,,"Studenec 9, 4220 Škofja Loka",", RIBIŠKA DRUŽINA SORA ŠKOFJA LOKA"
Ribiška družina Majšperk,Ribiška družina Majšperk,,"Majšperk 4, 2323 Ptujska gora",", Ribiška družina Majšperk"
LOVSKA DRUŽINA DOMŽALE,LOVSKA DRUŽINA DOMŽALE,,"Kolovec 3, 1235 Radomlje",", LOVSKA DRUŽINA DOMŽALE"
RIBIŠKA DRUŽINA MOZIRJE,RIBIŠKA DRUŽINA MOZIRJE,,"V Savinjski gaj 2, 3330 Mozirje",", RIBIŠKA DRUŽINA MOZIRJE"
LOVSKA DRUŽINA TURJAK,LOVSKA DRUŽINA TURJAK,,"Turjak 17, 1311 Turjak",", LOVSKA DRUŽINA TURJAK"
LOVSKA DRUŽINA ŠENTJERNEJ,LOVSKA DRUŽINA ŠENTJERNEJ,,"Javorovica 29, 8310 Šentjernej",", LOVSKA DRUŽINA ŠENTJERNEJ"
LOVSKA DRUŽINA NOMENJ-GORJUŠE,LOVSKA DRUŽINA NOMENJ-GORJUŠE,,"Gorjuše 15, 4264 Bohinjska Bistrica",", LOVSKA DRUŽINA NOMENJ-GORJUŠE"
JAMARSKI KLUB NOVO MESTO,JAMARSKI KLUB NOVO MESTO,,"Seidlova cesta 29, 8000 Novo mesto",", JAMARSKI KLUB NOVO MESTO"
LOVSKA DRUŽINA BEGUNJŠČICA BEGUNJE,LOVSKA DRUŽINA BEGUNJŠČICA BEGUNJE,,"Begunje na Gorenjskem 15, 4275 Begunje na Gorenjskem",", LOVSKA DRUŽINA BEGUNJŠČICA BEGUNJE"
LOVSKA DRUŽINA PEČAROVCI,LOVSKA DRUŽINA PEČAROVCI,,"Prosečka vas 55, 9202 Mačkovci",", LOVSKA DRUŽINA PEČAROVCI"
JAMARSKI KLUB ŽELEZNIČAR,JAMARSKI KLUB ŽELEZNIČAR,,"Hrvatski trg 2, 1000 Ljubljana",", JAMARSKI KLUB ŽELEZNIČAR"
LOVSKA DRUŽINA RAKEK,LOVSKA DRUŽINA RAKEK,,"Trg padlih borcev 2, 1381 Rakek",", LOVSKA DRUŽINA RAKEK"
LOVSKA DRUŽINA LOŽ - STARI TRG,LOVSKA DRUŽINA LOŽ - STARI TRG,,"Rožnik 4, 1386 Stari trg pri Ložu",", LOVSKA DRUŽINA LOŽ - STARI TRG"
LOVSKA DRUŽINA ŽILCE,LOVSKA DRUŽINA ŽILCE,,"Čohovo 6, 1380 Cerknica",", LOVSKA DRUŽINA ŽILCE"
LOVSKA DRUŽINA CAJNARJE,LOVSKA DRUŽINA CAJNARJE,,"Cajnarje 14, 1380 Cerknica",", LOVSKA DRUŽINA CAJNARJE"
LOVSKA DRUŽINA IGA VAS,LOVSKA DRUŽINA IGA VAS,,"Pudob 45 A, 1386 Stari trg pri Ložu",", LOVSKA DRUŽINA IGA VAS"
LOVSKA DRUŽINA MARTIN KRPAN BLOKE,LOVSKA DRUŽINA MARTIN KRPAN BLOKE,,"Nova vas 68, 1385 Nova Vas",", LOVSKA DRUŽINA MARTIN KRPAN BLOKE"
LOVSKA DRUŽINA BEGUNJE,LOVSKA DRUŽINA BEGUNJE,,"Begunje pri Cerknici 28, 1382 Begunje pri Cerknici",", LOVSKA DRUŽINA BEGUNJE"
LOVSKA DRUŽINA CERKNICA,LOVSKA DRUŽINA CERKNICA,,"Zelše 8 D, 1380 Cerknica",", LOVSKA DRUŽINA CERKNICA"
LOVSKA DRUŽINA GRADAC,LOVSKA DRUŽINA GRADAC,,"Podzemelj 35, 8332 Gradac",", LOVSKA DRUŽINA GRADAC"
LOVSKA DRUŽINA METLIKA,LOVSKA DRUŽINA METLIKA,,"Drašiči 150, 8330 Metlika",", LOVSKA DRUŽINA METLIKA"
LOVSKA DRUŽINA KANAL,LOVSKA DRUŽINA KANAL,,"Trg svobode 23, 5213 Kanal",", LOVSKA DRUŽINA KANAL"
LOVSKA DRUŽINA GORENJA VAS,LOVSKA DRUŽINA GORENJA VAS,,"Trata 21, 4224 Gorenja vas",", LOVSKA DRUŽINA GORENJA VAS"
LOVSKA DRUŽINA POLJANE,LOVSKA DRUŽINA POLJANE,,"Poljane nad Škofjo Loko 59, 4223 Poljane nad Škofjo Loko",", LOVSKA DRUŽINA POLJANE"
LOVSKA DRUŽINA ŽABNIK OBROV,LOVSKA DRUŽINA ŽABNIK OBROV,,"Gradišče pri Materiji 2, 6243 Obrov",", LOVSKA DRUŽINA ŽABNIK OBROV"
LOVSKA DRUŽINA NANOS,LOVSKA DRUŽINA NANOS,,"Nanos 6 A, 5271 Vipava",", LOVSKA DRUŽINA NANOS"
LOVSKA DRUŽINA COL,LOVSKA DRUŽINA COL,,"Col 78, 5273 Col",", LOVSKA DRUŽINA COL"
LOVSKA DRUŽINA ČATEŽ OB SAVI,LOVSKA DRUŽINA ČATEŽ OB SAVI,,"Mali Cirnik 3, 8262 Krška vas",", LOVSKA DRUŽINA ČATEŽ OB SAVI"
LOVSKA DRUŽINA ARTIČE,LOVSKA DRUŽINA ARTIČE,,"Arnovo selo 25, 8253 Artiče",", LOVSKA DRUŽINA ARTIČE"
ŠALEŠKI JAMARSKI KLUB PODLASICA TOPOLŠICA,ŠALEŠKI JAMARSKI KLUB PODLASICA TOPOLŠICA,,"Topolšica 81 A, 3326 Topolšica",", ŠALEŠKI JAMARSKI KLUB PODLASICA TOPOLŠICA"
LOVSKA DRUŽINA TRBOVLJE,LOVSKA DRUŽINA TRBOVLJE,,"Knezdol 10 D, 1420 Trbovlje",", LOVSKA DRUŽINA TRBOVLJE"
LOVSKA DRUŽINA DOBOVEC,LOVSKA DRUŽINA DOBOVEC,,"Dobovec 25, 1423 Dobovec",", LOVSKA DRUŽINA DOBOVEC"
LOVSKA DRUŽINA BOROVNICA,LOVSKA DRUŽINA BOROVNICA,,"Miklavičeva cesta 2 A, 1353 Borovnica",", LOVSKA DRUŽINA BOROVNICA"
LOVSKA DRUŽINA VELIKA LOKA,LOVSKA DRUŽINA VELIKA LOKA,,"Velika Loka 7, 8212 Velika Loka",", LOVSKA DRUŽINA VELIKA LOKA"
LOVSKA DRUŽINA MOKRONOG,LOVSKA DRUŽINA MOKRONOG,,"Preloge 20, 8230 Mokronog",", LOVSKA DRUŽINA MOKRONOG"
LOVSKA DRUŽINA TREBELNO,LOVSKA DRUŽINA TREBELNO,,"Trebelno 41, 8231 Trebelno",", LOVSKA DRUŽINA TREBELNO"
LOVSKA DRUŽINA ŠENTRUPERT,LOVSKA DRUŽINA ŠENTRUPERT,,"Rakovnik pri Šentrupertu 18, 8232 Šentrupert",", LOVSKA DRUŽINA ŠENTRUPERT"
LOVSKA DRUŽINA VOJNIK,LOVSKA DRUŽINA VOJNIK,,"Cesta talcev 51, 3212 Vojnik",", LOVSKA DRUŽINA VOJNIK"
LOVSKA DRUŽINA BOJANSKO ŠTORE,LOVSKA DRUŽINA BOJANSKO ŠTORE,,,", LOVSKA DRUŽINA BOJANSKO ŠTORE"
LOVSKA DRUŽINA KAJUH ŠMARTNO V ROŽNI DOLINI,LOVSKA DRUŽINA KAJUH ŠMARTNO V ROŽNI DOLINI,,"Brezova 5, 3201 Šmartno v Rožni dolini",", LOVSKA DRUŽINA KAJUH ŠMARTNO V ROŽNI DOLINI"
LOVSKA DRUŽINA VELUNJA ŠOŠTANJ,LOVSKA DRUŽINA VELUNJA ŠOŠTANJ,,"Ravne 133, 3325 Šoštanj",", LOVSKA DRUŽINA VELUNJA ŠOŠTANJ"
LOVSKA DRUŽINA VRHNIKA,LOVSKA DRUŽINA VRHNIKA,,"Tržaška cesta 11, 1360 Vrhnika",", LOVSKA DRUŽINA VRHNIKA"
LOVSKA DRUŽINA SMREKOVEC ŠOŠTANJ,LOVSKA DRUŽINA SMREKOVEC ŠOŠTANJ,,"Bele Vode 27 A, 3325 Šoštanj",", LOVSKA DRUŽINA SMREKOVEC ŠOŠTANJ"
LOVSKA DRUŽINA MLINŠE,LOVSKA DRUŽINA MLINŠE,,"Mlinše 18, 1411 Izlake",", LOVSKA DRUŽINA MLINŠE"
LOVSKA DRUŽINA ŠENTLAMBERT,LOVSKA DRUŽINA ŠENTLAMBERT,,"Šentlambert 19, 1410 Zagorje ob Savi",", LOVSKA DRUŽINA ŠENTLAMBERT"
LOVSKA DRUŽINA ZAGORJE OB SAVI,LOVSKA DRUŽINA ZAGORJE OB SAVI,,"Pintarjeva cesta 16, 1410 Zagorje ob Savi",", LOVSKA DRUŽINA ZAGORJE OB SAVI"
LOVSKA DRUŽINA BRASLOVČE,LOVSKA DRUŽINA BRASLOVČE,,"Braslovče 22, 3314 Braslovče",", LOVSKA DRUŽINA BRASLOVČE"
DRUŠTVO ZA RAZISKOVANJE JAM KRANJ,DRUŠTVO ZA RAZISKOVANJE JAM KRANJ,,"Kebetova ulica 9, 4000 Kranj",", DRUŠTVO ZA RAZISKOVANJE JAM KRANJ"
RIBIŠKA DRUŽINA KRANJ,RIBIŠKA DRUŽINA KRANJ,,"Jezerska cesta 62 B, 4000 Kranj",", RIBIŠKA DRUŽINA KRANJ"
LOVSKA DRUŽINA LAPORJE,LOVSKA DRUŽINA LAPORJE,,"Bistriška cesta 9, 2319 Poljčane",", LOVSKA DRUŽINA LAPORJE"
LOVSKA DRUŽINA LOG ŠENTVID PRI GROBELNEM,LOVSKA DRUŽINA LOG ŠENTVID PRI GROBELNEM,,"Šentvid pri Grobelnem 30, 3231 Grobelno",", LOVSKA DRUŽINA LOG ŠENTVID PRI GROBELNEM"
Lovska družina Polskava,Lovska družina Polskava,,"Bukovec 2, 2314 Zgornja Polskava",", Lovska družina Polskava"
Koroška ribiška družina,Koroška ribiška družina,,"Ribiška pot 11, 2370 Dravograd",", Koroška ribiška družina"
LOVSKA DRUŽINA GRADIŠČE,LOVSKA DRUŽINA GRADIŠČE,,"Troblje 31 A, 2380 Slovenj Gradec",", LOVSKA DRUŽINA GRADIŠČE"
LOVSKA DRUŽINA ROGAŠKA SLATINA,LOVSKA DRUŽINA ROGAŠKA SLATINA,,"Zgornje Negonje 39, 3250 Rogaška Slatina",", LOVSKA DRUŽINA ROGAŠKA SLATINA"
LOVSKA DRUŽINA ROGATEC,LOVSKA DRUŽINA ROGATEC,,"Trlično 23, 3252 Rogatec",", LOVSKA DRUŽINA ROGATEC"
LOVSKA DRUŽINA LOKA PRI ŽUSMU,LOVSKA DRUŽINA LOKA PRI ŽUSMU,,"Dobrina 32 Č, 3223 Loka pri Žusmu",", LOVSKA DRUŽINA LOKA PRI ŽUSMU"
LOVSKA DRUŽINA ŠENTJUR,LOVSKA DRUŽINA ŠENTJUR,,"Na Tičnico 17, 3230 Šentjur",", LOVSKA DRUŽINA ŠENTJUR"
LOVSKA DRUŽINA HRENOVICE,LOVSKA DRUŽINA HRENOVICE,,"Hruševje 14, 6225 Hruševje",", LOVSKA DRUŽINA HRENOVICE"
LOVSKA DRUŽINA PECA MEŽICA,LOVSKA DRUŽINA PECA MEŽICA,,"Kopališka pot 2, 2392 Mežica",", LOVSKA DRUŽINA PECA MEŽICA"
LOVSKA DRUŽINA BUKOVJE,LOVSKA DRUŽINA BUKOVJE,,"Belsko 12, 6230 Postojna",", LOVSKA DRUŽINA BUKOVJE"
RIBIŠKA DRUŽINA RIBNICA,RIBIŠKA DRUŽINA RIBNICA,,"Prigorica 88 A, 1331 Dolenja vas",", RIBIŠKA DRUŽINA RIBNICA"
LOVSKA DRUŽINA TABOR ZAGORJE,LOVSKA DRUŽINA TABOR ZAGORJE,,"Zagorje 53, 6257 Pivka",", LOVSKA DRUŽINA TABOR ZAGORJE"
LOVSKA DRUŽINA GRADIŠČE KOŠANA,LOVSKA DRUŽINA GRADIŠČE KOŠANA,,"Neverke 31 B, 6256 Košana",", LOVSKA DRUŽINA GRADIŠČE KOŠANA"
LOVSKA DRUŽINA JAMNICA PREVALJE,LOVSKA DRUŽINA JAMNICA PREVALJE,,"Suhi Vrh 17, 2391 Prevalje",", LOVSKA DRUŽINA JAMNICA PREVALJE"
LOVSKA DRUŽINA DUPLEK,LOVSKA DRUŽINA DUPLEK,,"Ciglence 43, 2241 Spodnji Duplek",", LOVSKA DRUŽINA DUPLEK"
Lovska družina Fram,Lovska družina Fram,,"Planica 13, 2313 Fram",", Lovska družina Fram"
LOVSKA DRUŽINA LOKA ČRNOMELJ,LOVSKA DRUŽINA LOKA ČRNOMELJ,,"Bistrica 4, 8340 Črnomelj",", LOVSKA DRUŽINA LOKA ČRNOMELJ"
LOVSKA DRUŽINA SMUK SEMIČ,LOVSKA DRUŽINA SMUK SEMIČ,,"Smuška cesta 159, 8333 Semič",", LOVSKA DRUŽINA SMUK SEMIČ"
LOVSKA DRUŽINA VINICA,LOVSKA DRUŽINA VINICA,,"Podklanec 35, 8344 Vinica",", LOVSKA DRUŽINA VINICA"
Lovska družina Dravograd,Lovska družina Dravograd,,"Pod gradom 196, 2370 Dravograd",", Lovska družina Dravograd"
LOVSKA DRUŽINA GRAHOVO,LOVSKA DRUŽINA GRAHOVO,,"Grahovo 88 B, 1384 Grahovo",", LOVSKA DRUŽINA GRAHOVO"
JAMARSKO DRUŠTVO RAKEK,JAMARSKO DRUŠTVO RAKEK,,"Trg padlih borcev 8, 1381 Rakek",", JAMARSKO DRUŠTVO RAKEK"
LOVSKA DRUŽINA BOČ NA KOZJAKU,LOVSKA DRUŽINA BOČ NA KOZJAKU,,"Veliki Boč 25, 2353 Sv. Duh na Ostrem Vrhu",", LOVSKA DRUŽINA BOČ NA KOZJAKU"
Lovska družina Kamnica,Lovska družina Kamnica,,"Bresterniški vrh 68, 2351 Kamnica",", Lovska družina Kamnica"
Lovska družina Starše,Lovska družina Starše,,"Starše 1 A, 2205 Starše",", Lovska družina Starše"
Lovska družina Paloma Sladki Vrh,Lovska družina Paloma Sladki Vrh,,"Vranji Vrh 7, 2214 Sladki vrh",", Lovska družina Paloma Sladki Vrh"
LOVSKA DRUŽINA ŠENTILJ,LOVSKA DRUŽINA ŠENTILJ,,"Zgornje Dobrenje 9, 2212 Šentilj v Slov. goricah",", LOVSKA DRUŽINA ŠENTILJ"
Lovska družina Rače,Lovska družina Rače,,"Podova 79, 2327 Rače",", Lovska družina Rače"
LOVSKA DRUŽINA PUŠČAVA,LOVSKA DRUŽINA PUŠČAVA,,"Rdeči Breg - del 2 D, 2344 Lovrenc na Pohorju",", LOVSKA DRUŽINA PUŠČAVA"
Lovska družina Ruše,Lovska družina Ruše,,"Lobnica 20 C, 2342 Ruše",", Lovska družina Ruše"
RIBIŠKA DRUŽINA MARIBOR,RIBIŠKA DRUŽINA MARIBOR,,"Cesta XIV. divizije 54, 2000 Maribor",", RIBIŠKA DRUŽINA MARIBOR"
Ribiška družina Slovenska Bistrica,Ribiška družina Slovenska Bistrica,,"Partizanska ulica 39, 2310 Slovenska Bistrica",", Ribiška družina Slovenska Bistrica"
JAMARSKO DRUŠTVO SEŽANA,JAMARSKO DRUŠTVO SEŽANA,,"Bazoviška cesta 9, 6210 Sežana",", JAMARSKO DRUŠTVO SEŽANA"
LOVSKA DRUŽINA DOLCE KOMEN,LOVSKA DRUŽINA DOLCE KOMEN,,"Nadrožica 12, 6223 Komen",", LOVSKA DRUŽINA DOLCE KOMEN"
LOVSKA DRUŽINA JAVORNIK POSTOJNA,LOVSKA DRUŽINA JAVORNIK POSTOJNA,,"Cankarjeva ulica 6, 6230 Postojna",", LOVSKA DRUŽINA JAVORNIK POSTOJNA"
LOVSKA DRUŽINA RAŠA ŠTORJE,LOVSKA DRUŽINA RAŠA ŠTORJE,,"Štorje 1, 6210 Sežana",", LOVSKA DRUŽINA RAŠA ŠTORJE"
LOVSKA DRUŽINA KRAS DUTOVLJE,LOVSKA DRUŽINA KRAS DUTOVLJE,,"Kreplje 40, 6221 Dutovlje",", LOVSKA DRUŽINA KRAS DUTOVLJE"
LOVSKA DRUŽINA GABERK DIVAČA,LOVSKA DRUŽINA GABERK DIVAČA,,"Gorenje pri Divači 55, 6215 Divača",", LOVSKA DRUŽINA GABERK DIVAČA"
LOVSKA DRUŽINA SENOŽEČE,LOVSKA DRUŽINA SENOŽEČE,,"Dolenja vas 1 G, 6224 Senožeče",", LOVSKA DRUŽINA SENOŽEČE"
LOVSKA DRUŽINA DOLE PRI LITIJI,LOVSKA DRUŽINA DOLE PRI LITIJI,,"Kal pri Dolah 10, 1273 Dole pri Litiji",", LOVSKA DRUŽINA DOLE PRI LITIJI"
RIBIŠKA DRUŽINA LITIJA,RIBIŠKA DRUŽINA LITIJA,,"Savska cesta 3, 1270 Litija",", RIBIŠKA DRUŽINA LITIJA"
LOVSKA DRUŽINA POLŠNIK,LOVSKA DRUŽINA POLŠNIK,,"Polšnik 35, 1272 Polšnik",", LOVSKA DRUŽINA POLŠNIK"
LOVSKA DRUŽINA VITANJE,LOVSKA DRUŽINA VITANJE,,"Paka 13, 3205 Vitanje",", LOVSKA DRUŽINA VITANJE"
LOVSKA DRUŽINA ZAVRČ,LOVSKA DRUŽINA ZAVRČ,,"Hrastovec 4 A, 2283 Zavrč",", LOVSKA DRUŽINA ZAVRČ"
Lovska družina Markovci,Lovska družina Markovci,,"Sobetinci 47, 2281 Markovci",", Lovska družina Markovci"
LOVSKA DRUŽINA CIRKULANE,LOVSKA DRUŽINA CIRKULANE,,"Brezovec 92, 2282 Cirkulane",", LOVSKA DRUŽINA CIRKULANE"
LOVSKA DRUŽINA DESTERNIK,LOVSKA DRUŽINA DESTERNIK,,"Drstelja 9 A, 2253 Destrnik",", LOVSKA DRUŽINA DESTERNIK"
LOVSKA DRUŽINA BORIS KIDRIČ,LOVSKA DRUŽINA BORIS KIDRIČ,,"Zgornja Hajdina 103 E, 2288 Hajdina",", LOVSKA DRUŽINA BORIS KIDRIČ"
Lovska družina Leskovec v Halozah,Lovska družina Leskovec v Halozah,,"Vareja 36, 2284 Videm pri Ptuju",", Lovska družina Leskovec v Halozah"
Lovska družina Cirkovce,Lovska družina Cirkovce,,"Starošince 7, 2326 Cirkovce",", Lovska družina Cirkovce"
Lovska družina Žetale,Lovska družina Žetale,,"Žetale 37, 2287 Žetale",", Lovska družina Žetale"
RIBIŠKA DRUŽINA PTUJ,RIBIŠKA DRUŽINA PTUJ,,"Cesta 8. avgusta 11, 2250 Ptuj",", RIBIŠKA DRUŽINA PTUJ"
LOVSKA DRUŽINA POREZEN CERKNO,LOVSKA DRUŽINA POREZEN CERKNO,,"Goriška cesta 5, 5282 Cerkno",", LOVSKA DRUŽINA POREZEN CERKNO"
LOVSKA DRUŽINA OTAVNIK,LOVSKA DRUŽINA OTAVNIK,,"Orehek 2 A, 5282 Cerkno",", LOVSKA DRUŽINA OTAVNIK"
LOVSKA DRUŽINA IDRIJA,LOVSKA DRUŽINA IDRIJA,,"Kosovelova ulica 35, 5280 Idrija",", LOVSKA DRUŽINA IDRIJA"
LOVSKA DRUŽINA ''JAVORNIK'' ČRNI VRH,LOVSKA DRUŽINA ''JAVORNIK'' ČRNI VRH,,"Črni Vrh 28, 5274 Črni vrh nad Idrijo",", LOVSKA DRUŽINA ''JAVORNIK'' ČRNI VRH"
LOVSKA DRUŽINA DOLE NAD IDRIJO,LOVSKA DRUŽINA DOLE NAD IDRIJO,,"Dole 30, 5280 Idrija",", LOVSKA DRUŽINA DOLE NAD IDRIJO"
RIBIŠKA DRUŽINA BISTRICA,RIBIŠKA DRUŽINA BISTRICA,,"Soze 15, 6250 Ilirska Bistrica",", RIBIŠKA DRUŽINA BISTRICA"
LOVSKA DRUŽINA BUKOVCA,LOVSKA DRUŽINA BUKOVCA,,"Velika Bukovica 1 C, 6250 Ilirska Bistrica",", LOVSKA DRUŽINA BUKOVCA"
LOVSKA DRUŽINA KOZLEK,LOVSKA DRUŽINA KOZLEK,,"Kuteževo 18 A, 6250 Ilirska Bistrica",", LOVSKA DRUŽINA KOZLEK"
LOVSKA DRUŽINA PREM,LOVSKA DRUŽINA PREM,,"Čelje 50, 6255 Prem",", LOVSKA DRUŽINA PREM"
Lovska družina Muta,Lovska družina Muta,,"Pernice 21 A, 2366 Muta",", Lovska družina Muta"
LOVSKA DRUŽINA ROGAŠOVCI,LOVSKA DRUŽINA ROGAŠOVCI,,"Sveti Jurij 50 A, 9262 Rogašovci",", LOVSKA DRUŽINA ROGAŠOVCI"
Lovska družina Remšnik,Lovska družina Remšnik,,"Remšnik 65, 2363 Podvelka",", Lovska družina Remšnik"
LOVSKA DRUŽINA BOGOJINA,LOVSKA DRUŽINA BOGOJINA,,"Bogojina 14, 9222 Bogojina",", LOVSKA DRUŽINA BOGOJINA"
Lovska družina Kapla,Lovska družina Kapla,,"Zgornja Kapla 6, 2362 Kapla",", Lovska družina Kapla"
LOVSKA DRUŽINA RANKOVCI,LOVSKA DRUŽINA RANKOVCI,,"Gederovci 41, 9251 Tišina",", LOVSKA DRUŽINA RANKOVCI"
LOVSKA DRUŽINA ZELENI VRH VUZENICA,LOVSKA DRUŽINA ZELENI VRH VUZENICA,,"Šentjanž nad Dravčami 15, 2367 Vuzenica",", LOVSKA DRUŽINA ZELENI VRH VUZENICA"
LOVSKA DRUŽINA CANKOVA,LOVSKA DRUŽINA CANKOVA,,"Cankova 58 A, 9261 Cankova",", LOVSKA DRUŽINA CANKOVA"
LOVSKA DRUŽINA MLAJTINCI,LOVSKA DRUŽINA MLAJTINCI,,"Šercerjevo naselje 16, 9000 Murska Sobota",", LOVSKA DRUŽINA MLAJTINCI"
LOVSKA DRUŽINA RADLJE OB DRAVI,LOVSKA DRUŽINA RADLJE OB DRAVI,,,", LOVSKA DRUŽINA RADLJE OB DRAVI"
LOVSKA DRUŽINA JANŽEV VRH,LOVSKA DRUŽINA JANŽEV VRH,,"Janževski Vrh 48, 2363 Podvelka",", LOVSKA DRUŽINA JANŽEV VRH"
LOVSKA DRUŽINA GRAD-KUZMA,LOVSKA DRUŽINA GRAD-KUZMA,,"Kuzma 4, 9263 Kuzma",", LOVSKA DRUŽINA GRAD-KUZMA"
RIBIŠKA DRUŽINA HRASTNIK,RIBIŠKA DRUŽINA HRASTNIK,,"Podkraj 71 A, 1430 Hrastnik",", RIBIŠKA DRUŽINA HRASTNIK"
RIBIŠKA DRUŽINA TOLMIN,RIBIŠKA DRUŽINA TOLMIN,,"Trg 1. maja 7, 5220 Tolmin",", RIBIŠKA DRUŽINA TOLMIN"
LOVSKA DRUŽINA TOLMIN,LOVSKA DRUŽINA TOLMIN,,"Zatolmin 1, 5220 Tolmin",", LOVSKA DRUŽINA TOLMIN"
LOVSKA DRUŽINA LJUBINJ,LOVSKA DRUŽINA LJUBINJ,,"Trg maršala Tita 16, 5220 Tolmin",", LOVSKA DRUŽINA LJUBINJ"
LOVSKA DRUŽINA PLANOTA,LOVSKA DRUŽINA PLANOTA,,"Slap ob Idrijci 28, 5283 Slap ob Idrijci",", LOVSKA DRUŽINA PLANOTA"
LOVSKA DRUŽINA ŽELEZNIKI,LOVSKA DRUŽINA ŽELEZNIKI,,"Na Plavžu 55, 4228 Železniki",", LOVSKA DRUŽINA ŽELEZNIKI"
LOVSKA DRUŽINA ŠKOFJA LOKA,LOVSKA DRUŽINA ŠKOFJA LOKA,,"Studenec 9, 4220 Škofja Loka",", LOVSKA DRUŽINA ŠKOFJA LOKA"
LOVSKA DRUŽINA SOVODENJ,LOVSKA DRUŽINA SOVODENJ,,"Sovodenj 23 A, 4225 Sovodenj",", LOVSKA DRUŽINA SOVODENJ"
LOVSKA DRUŽINA DEKANI,LOVSKA DRUŽINA DEKANI,,"Dekani 192, 6271 Dekani",", LOVSKA DRUŽINA DEKANI"
RIBIŠKA DRUŽINA LJUTOMER,RIBIŠKA DRUŽINA LJUTOMER,,,", RIBIŠKA DRUŽINA LJUTOMER"
Lovska družina Juršinci,Lovska družina Juršinci,,"Juršinci 19 B, 2256 Juršinci",", Lovska družina Juršinci"
LOVSKA DRUŽINA UDENBORŠT,LOVSKA DRUŽINA UDENBORŠT,,"Stara cesta 61, 4202 Naklo",", LOVSKA DRUŽINA UDENBORŠT"
LOVSKA DRUŽINA STORŽIČ,LOVSKA DRUŽINA STORŽIČ,,"Bašelj 12, 4205 Preddvor",", LOVSKA DRUŽINA STORŽIČ"
RIBIŠKA DRUŽINA LENDAVA - LENDVAI HORGÁSZ EGYESÜLET,RIBIŠKA DRUŽINA LENDAVA - LENDVAI HORGÁSZ EGYESÜLET,,"Kolodvorska ulica 7 A, 9220 Lendava - Lendva",", RIBIŠKA DRUŽINA LENDAVA - LENDVAI HORGÁSZ EGYESÜLET"
